work	gutenberg_id	title	character_count
chengyu-catalog	chapter-001	essay-001	513
chengyu-catalog	chapter-002	essay-002	724
chengyu-catalog	chapter-003	essay-003	505
chengyu-catalog	chapter-004	essay-004	739
chengyu-catalog	chapter-005	essay-005	578
chengyu-catalog	chapter-006	essay-006	525
chengyu-catalog	chapter-007	essay-007	917
chengyu-catalog	chapter-008	essay-008	453
chengyu-catalog	chapter-009	essay-009	799
chengyu-catalog	chapter-010	essay-010	932
chengyu-catalog	chapter-011	essay-011	851
chengyu-catalog	chapter-012	essay-012	592
chengyu-catalog	chapter-013	essay-013	747
chengyu-catalog	chapter-014	essay-014	966
chengyu-catalog	chapter-015	essay-015	798
chengyu-catalog	chapter-016	essay-016	752
chengyu-catalog	chapter-017	essay-017	606
chengyu-catalog	chapter-018	essay-018	446
chengyu-catalog	chapter-019	essay-019	825
chengyu-catalog	chapter-020	essay-020	514
chengyu-catalog	chapter-021	essay-021	614
chengyu-catalog	chapter-022	essay-022	596
chengyu-catalog	chapter-023	essay-023	686
chengyu-catalog	chapter-024	essay-024	579
chengyu-catalog	chapter-025	essay-025	850
chengyu-catalog	chapter-026	essay-026	677
chengyu-catalog	chapter-027	essay-027	447
chengyu-catalog	chapter-028	essay-028	849
chengyu-catalog	chapter-029	essay-029	842
chengyu-catalog	chapter-030	essay-030	916
chengyu-catalog	chapter-031	essay-031	605
chengyu-catalog	chapter-032	essay-032	452
chengyu-catalog	chapter-033	essay-033	532
chengyu-catalog	chapter-034	essay-034	516
chengyu-catalog	chapter-035	essay-035	767
chengyu-catalog	chapter-036	essay-036	829
chengyu-catalog	chapter-037	essay-037	424
chengyu-catalog	chapter-038	essay-038	814
chengyu-catalog	chapter-039	essay-039	737
chengyu-catalog	chapter-040	essay-040	601
chengyu-catalog	chapter-041	essay-041	664
chengyu-catalog	chapter-042	essay-042	697
chengyu-catalog	chapter-043	essay-043	716
chengyu-catalog	chapter-044	essay-044	553
chengyu-catalog	chapter-045	essay-045	616
chengyu-catalog	chapter-046	essay-046	635
chengyu-catalog	chapter-047	essay-047	707
chengyu-catalog	chapter-048	essay-048	580
chengyu-catalog	chapter-049	essay-049	666
chengyu-catalog	chapter-050	essay-050	594
chengyu-catalog	chapter-051	essay-051	509
chengyu-catalog	chapter-052	essay-052	722
chengyu-catalog	chapter-053	essay-053	476
chengyu-catalog	chapter-054	essay-054	887
chengyu-catalog	chapter-055	essay-055	619
chengyu-catalog	chapter-056	essay-056	783
chengyu-catalog	chapter-057	essay-057	449
chengyu-catalog	chapter-058	essay-058	445
chengyu-catalog	chapter-059	essay-059	579
chengyu-catalog	chapter-060	essay-060	775
chengyu-catalog	chapter-061	essay-061	645
chengyu-catalog	chapter-062	essay-062	538
chengyu-catalog	chapter-063	essay-063	661
chengyu-catalog	chapter-064	essay-064	736
chengyu-catalog	chapter-065	essay-065	814
chengyu-catalog	chapter-066	essay-066	847
chengyu-catalog	chapter-067	essay-067	571
chengyu-catalog	chapter-068	essay-068	532
chengyu-catalog	chapter-069	essay-069	537
chengyu-catalog	chapter-070	essay-070	534
chengyu-catalog	chapter-071	essay-071	680
chengyu-catalog	chapter-072	essay-072	724
chengyu-catalog	chapter-073	essay-073	561
chengyu-catalog	chapter-074	essay-074	632
chengyu-catalog	chapter-075	essay-075	370
chengyu-catalog	chapter-076	essay-076	480
chengyu-catalog	chapter-077	essay-077	644
chengyu-catalog	chapter-078	essay-078	718
chengyu-catalog	chapter-079	essay-079	681
chengyu-catalog	chapter-080	essay-080	335
chengyu-catalog	chapter-081	essay-081	729
chengyu-catalog	chapter-082	essay-082	882
chengyu-catalog	chapter-083	essay-083	572
chengyu-catalog	chapter-084	essay-084	364
chengyu-catalog	chapter-085	essay-085	530
chengyu-catalog	chapter-086	essay-086	904
chengyu-catalog	chapter-087	essay-087	424
chengyu-catalog	chapter-088	essay-088	708
chengyu-catalog	chapter-089	essay-089	700
chengyu-catalog	chapter-090	essay-090	533
chengyu-catalog	chapter-091	essay-091	753
chengyu-catalog	chapter-092	essay-092	937
chengyu-catalog	chapter-093	essay-093	645
chengyu-catalog	chapter-094	essay-094	575
chengyu-catalog	chapter-095	essay-095	567
chengyu-catalog	chapter-096	essay-096	902
chengyu-catalog	chapter-097	essay-097	417
chengyu-catalog	chapter-098	essay-098	483
chengyu-catalog	chapter-099	essay-099	529
chengyu-catalog	chapter-100	essay-100	811
chengyu-catalog	chapter-101	essay-101	476
chengyu-catalog	chapter-102	essay-102	469
chengyu-catalog	chapter-103	essay-103	372
chengyu-catalog	chapter-104	essay-104	619
chengyu-catalog	chapter-105	essay-105	700
chengyu-catalog	chapter-106	essay-106	689
chengyu-catalog	chapter-107	essay-107	603
chengyu-catalog	chapter-108	essay-108	728
chengyu-catalog	chapter-109	essay-109	771
chengyu-catalog	chapter-110	essay-110	669
chengyu-catalog	chapter-111	essay-111	496
chengyu-catalog	chapter-112	essay-112	473
chengyu-catalog	chapter-113	essay-113	698
chengyu-catalog	chapter-114	essay-114	619
chengyu-catalog	chapter-115	essay-115	781
chengyu-catalog	chapter-116	essay-116	625
chengyu-catalog	chapter-117	essay-117	401
chengyu-catalog	chapter-118	essay-118	667
chengyu-catalog	chapter-119	essay-119	522
chengyu-catalog	chapter-120	essay-120	584
chengyu-catalog	chapter-121	essay-121	346
chengyu-catalog	chapter-122	essay-122	650
chengyu-catalog	chapter-123	essay-123	873
chengyu-catalog	chapter-124	essay-124	597
chengyu-catalog	chapter-125	essay-125	580
chengyu-catalog	chapter-126	essay-126	916
chengyu-catalog	chapter-127	essay-127	547
chengyu-catalog	chapter-128	essay-128	752
chengyu-catalog	chapter-129	essay-129	532
chengyu-catalog	chapter-130	essay-130	563
chengyu-catalog	chapter-131	essay-131	661
chengyu-catalog	chapter-132	essay-132	496
chengyu-catalog	chapter-133	essay-133	486
chengyu-catalog	chapter-134	essay-134	812
chengyu-catalog	chapter-135	essay-135	504
chengyu-catalog	chapter-136	essay-136	498
chengyu-catalog	chapter-137	essay-137	582
chengyu-catalog	chapter-138	essay-138	888
chengyu-catalog	chapter-139	essay-139	691
chengyu-catalog	chapter-140	essay-140	651
chengyu-catalog	chapter-141	essay-141	618
chengyu-catalog	chapter-142	essay-142	593
chengyu-catalog	chapter-143	essay-143	435
chengyu-catalog	chapter-144	essay-144	509
chengyu-catalog	chapter-145	essay-145	722
chengyu-catalog	chapter-146	essay-146	419
chengyu-catalog	chapter-147	essay-147	589
chengyu-catalog	chapter-148	essay-148	839
chengyu-catalog	chapter-149	essay-149	428
chengyu-catalog	chapter-150	essay-150	869
dream_of_red_chamber	24264	紅樓夢	724619
journey_to_the_west	23962	西遊記	588708
three_kingdoms	23950	三國志演義	484872
jin_ping_mei	52200	金瓶梅	630104
xingshi_yinyuan	26161	醒世姻緢	660480
rulin_waishi	24032	儒林外史	231924
erke_paianjingqi	57248	二刻拍案驚奇	331081
jingshi_tongyan	24141	警世通言	311912
dongzhou_lieguo	25349	東周列國志	125113
suitang_yanyi	23835	隋唐演義	521264
han_shu	23841	漢書	712129
suoyuan_shihua	52206	隨園詩話	296975
ri_zhi_lu	25262	日知錄	394919
chi_bei_ou_tan	25162	池北偶談	212246
